site_id,local_site_name,address,latitude,longitude,date,parameter,units,sample_measurement,aqi
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-12,Ozone,Parts per million,0.025588,25.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-13,Ozone,Parts per million,0.029471,31.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-14,Ozone,Parts per million,0.034824,37.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-15,Ozone,Parts per million,0.024353,31.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-16,Ozone,Parts per million,0.024412,31.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-17,Ozone,Parts per million,0.034471,34.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-18,Ozone,Parts per million,0.025941,26.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-19,Ozone,Parts per million,0.009471,19.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-20,Ozone,Parts per million,0.018588,22.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-21,Ozone,Parts per million,0.011588,18.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-22,Ozone,Parts per million,0.019235,25.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-23,Ozone,Parts per million,0.024941,31.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-24,Ozone,Parts per million,0.018118,22.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-25,Ozone,Parts per million,0.019,24.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-10-26,Ozone,Parts per million,0.018588,20.0
